#Ecutwfc NC1.UPF  NC2.UPF  US1.UPF  US2.UPF  PAW1.PAW  PAW2.PAW 
100 -64.46627460  -64.26686514  -64.46118326  -64.26007396  -64.46021950  -64.45739505 
70 -64.43162024  -64.26551081  -64.46047047  -64.25933902  -64.45950651  -64.45666573 
50 -64.14861355  -64.21880584  -64.46363687  -64.26144725  -64.46267302  -64.45899688 
35 -63.14693267  -63.71966368  -64.46255512  -64.25748478  -64.46159119  -64.45516651 
25 -61.83356248  -62.69737886  -64.44383378  -64.23329318  -64.44286823  -64.42980409 
18 -60.26746349  -61.18034024  -64.14016250  -63.93167440  -64.13921864  -64.13973081 
13 -58.40924831  -59.17419817  -62.66073047  -62.49844075  -62.65985059  -62.67353484 
