#Ecutwfc NC1.UPF  NC2.UPF  US1.UPF  US2.UPF  PAW1.PAW  PAW2.PAW 
100 -64.41163908  -64.21178989  -64.40902831  -64.20784458  -64.40808451  -64.40531904 
70 -64.37654945  -64.21038370  -64.40827718  -64.20706021  -64.40733320  -64.40458087 
50 -64.09639714  -64.16459107  -64.41187211  -64.20959448  -64.41092828  -64.40734737 
35 -63.09208127  -63.65933762  -64.41142897  -64.20605180  -64.41048506  -64.31962225 
25 -61.77369788  -62.63154783  -64.39187175  -64.18154196  -64.39092640  -64.37457273 
18 -60.30848318  -61.21134164  -64.10230975  -63.89402395  -64.10138525  -64.09659303 
13 -58.44678894  -59.19773110  -62.60889683  -62.44798810  -62.60803738  -62.59698756 
