#Ecutwfc NC1.UPF  NC2.UPF  US1.UPF  US2.UPF  PAW1.PAW  PAW2.PAW 
100 -64.23649640  -64.03641295  -64.23627180  -64.03515455  -64.23536307  -64.23583144 
70 -64.20107576  -64.03476513  -64.23529084  -64.03413764  -64.23438193  -64.23379896 
50 -63.91681847  -63.98731920  -64.23953569  -64.03722090  -64.23862695  -64.23866592 
35 -62.93822071  -63.49543067  -64.23912734  -64.03372803  -64.23821857  -64.23443464 
25 -61.59181403  -62.43782274  -64.21735279  -64.00678733  -64.21644273  -64.20649477 
18 -60.15778436  -61.04477380  -63.92783895  -63.72139361  -63.92695009  -63.66945086 
13 -58.46177867  -59.20201128  -62.50845135  -62.34898958  -62.50762502  -62.52239234 
