#Ecutwfc NC1.UPF  NC2.UPF  US1.UPF  US2.UPF  PAW1.PAW  PAW2.PAW 
100 -64.35138478  -64.15138859  -64.35006668  -64.14890839  -64.34913789  -64.34790313 
70 -64.31699354  -64.14986898  -64.34920742  -64.14801470  -64.34827845  -64.34701783 
50 -64.03014178  -64.10223033  -64.35260191  -64.15036116  -64.35167310  -64.34951696 
35 -63.04324813  -63.60343219  -64.35229763  -64.14702547  -64.35136874  -64.34403944 
25 -61.69065047  -62.54519173  -64.33191650  -64.12151559  -64.33098632  -64.30359435 
18 -60.29372686  -61.19059068  -64.05122734  -63.84423069  -64.05031763  -44.11465334 
13 -58.46836728  -59.21332838  -62.57374039  -62.41292493  -62.57289525  -62.58666669 
