#Ecutwfc NC1.UPF  NC2.UPF  US1.UPF  US2.UPF  PAW1.PAW  PAW2.PAW 
100 -64.50312255  -64.30478234  -64.49270103  -64.29192666  -64.49171063  -64.48852250 
70 -64.46968995  -64.30353545  -64.49210244  -64.29129586  -64.49111187  -64.48790143 
50 -64.17550659  -64.25518606  -64.49513034  -64.29330711  -64.49413988  -64.49009074 
35 -63.19123820  -63.76703524  -64.49330816  -64.28876609  -64.49231760  -64.48480792 
25 -61.81475912  -62.69433607  -64.47337233  -64.26311130  -64.47238025  -64.46179300 
18 -60.17772420  -61.11005838  -64.16152221  -63.95315044  -64.16055244  -64.15146041 
13 -58.35578830  -59.14285537  -62.72782463  -62.56282813  -62.72691619  -62.74058787 
